start,end,file,Buteo platypterus_Broad-winged Hawk,Cyanocitta cristata_Blue Jay,Vireo olivaceus_Red-eyed Vireo,Pinicola enucleator_Pine Grosbeak,Catharus guttatus_Hermit Thrush,Hylocichla mustelina_Wood Thrush,Setophaga virens_Black-throated Green Warbler,Sitta canadensis_Red-breasted Nuthatch,Salpinctes obsoletus_Rock Wren,Haemorhous mexicanus_House Finch,Piranga olivacea_Scarlet Tanager,Setophaga fusca_Blackburnian Warbler,Geothlypis trichas_Common Yellowthroat,Contopus virens_Eastern Wood-Pewee,Anas platyrhynchos_Mallard,Lithobates catesbeianus_American Bullfrog,Engine_Engine,Polioptila caerulea_Blue-gray Gnatcatcher,Poecile atricapillus_Black-capped Chickadee,Pipilo erythrophthalmus_Eastern Towhee,Zonotrichia leucophrys_White-crowned Sparrow,Microcentrum rhombifolium_Greater Angle-wing,Vireo solitarius_Blue-headed Vireo,Myiarchus crinitus_Great Crested Flycatcher,Botaurus lentiginosus_American Bittern,Setophaga striata_Blackpoll Warbler,Colaptes auratus_Northern Flicker,Chordeiles minor_Common Nighthawk,Human non-vocal_Human non-vocal
48.0,51.0,20250716_120200.WAV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51.0,54.0,20250716_120200.WAV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
54.0,55.0,20250716_120200.WAV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.0,3.0,20250716_120300.WAV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3.0,6.0,20250716_120300.WAV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6.0,9.0,20250716_120300.WAV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9.0,12.0,20250716_120300.WAV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12.0,15.0,20250716_120300.WAV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15.0,18.0,20250716_120300.WAV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18.0,21.0,20250716_120300.WAV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21.0,24.0,20250716_120300.WAV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24.0,27.0,20250716_120300.WAV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27.0,30.0,20250716_120300.WAV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30.0,33.0,20250716_120300.WAV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33.0,36.0,20250716_120300.WAV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36.0,39.0,20250716_120300.WAV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39.0,42.0,20250716_120300.WAV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42.0,45.0,20250716_120300.WAV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45.0,48.0,20250716_120300.WAV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48.0,51.0,20250716_120300.WAV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51.0,54.0,20250716_120300.WAV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
54.0,55.0,20250716_120300.WAV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
